<b>mettre</b>	to put
<b>à jour</b>	up to date
<b>changement&nbsp;</b>	change
<div style='font-weight: bold;'>vague</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Inégalité de la surface d'une étendue liquide (mer, lac…) due aux courants, au vent&nbsp;; masse d'eau qui se soulève et s'abaisse. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Le bruit des vagues.&nbsp;Une grosse vague.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>flot,&nbsp;houle,&nbsp;lame</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>wave</div>
<b>récemment</b>	recent
<b>main-d'œuvre</b>	workforce
aperçu	overview
<b>toutefois</b>	however
<b>cependant</b>	however
<b>foyer</b>	home
<b>souhaiter</b>	wish
<b>cacahuète</b>	peanut
<b>provoquer</b>	provoke
<div style='font-weight: bold;'>pousser<br></div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Soumettre (qqch., qqn) à une pression ou à un choc de manière à mettre en mouvement dans une direction&nbsp;(s'oppose à&nbsp;tirer). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Pousser un meuble contre un mur.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>bousculer,&nbsp;écarter,&nbsp;repousser</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>push</div>
<b>pétrolier</b>	oil industry
<b>tôt</b>	early
<b>vendre</b>	sell
sell	<b>vendre</b>
to put	<b>mettre</b>
up to date	<b>à jour</b>
change	<b>changement&nbsp;</b>
<div class=centered-block> Inégalité de la surface d'une étendue liquide (mer, lac…) due aux courants, au vent&nbsp;; masse d'eau qui se soulève et s'abaisse. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>vague</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Le bruit des vagues.&nbsp;Une grosse vague.</div>
recent	<b>récemment</b>
workforce	<b>main-d'œuvre</b>
overview	aperçu
however	<b>toutefois</b>
however	<b>cependant</b>
home	<b>foyer</b>
wish	<b>souhaiter</b>
peanut	<b>cacahuète</b>
provoke	<b>provoquer</b>
<div class=centered-block> Soumettre (qqch., qqn) à une pression ou à un choc de manière à mettre en mouvement dans une direction&nbsp;(s'oppose à&nbsp;tirer). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>pousser<br></div> <br/> <div style='font-family: Arial; font-size: 16px;'>Pousser un meuble contre un mur.</div>
oil industry	<b>pétrolier</b>
early	<b>tôt</b>
<b>fidèle</b>	faithful
faithful	<b>fidèle</b>
<div style='font-weight: bold;'>agir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div>	<div class=centered-block> <div>Faire qqch., avoir une activité qui transforme plus ou moins ce qui est.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Agir au nom de qqn.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>opérer,&nbsp;exercer une action,&nbsp;intervenir</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>act</div>
<div class=centered-block> <div>Faire qqch., avoir une activité qui transforme plus ou moins ce qui est.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div> 	<div style='font-weight: bold;'>agir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Agir au nom de qqn.</div>
<b>lutte</b>	fight
fight	<b>lutte</b>
<b>il s’agit de</b>	it's about
it's about	<b>il s’agit de</b>
<b>niveau</b>	level
level	<b>niveau</b>
<b>s'agir</b>	to be about
to be about	<b>s'agir</b>
<b>soigner</b>	to care, heal, tend
to care, heal, tend	<b>soigner</b>
<b>soin</b>	care
care	<b>soin</b>
<b>soigneusement</b>	carefully
carefully	<b>soigneusement</b>
<b>craindre</b>	to fear
to fear	<b>craindre</b>
<b>redouter</b>	to dread
to dread	<b>redouter</b>
<b>lequel</b>	which
which	<b>lequel</b>
<b>bande dessinée</b>	comic
comic	<b>bande dessinée</b>
<b>monstrueux</b>	monstrous
monstrous	<b>monstrueux</b>
<b>honnêtement</b>	honestly
honestly	<b>honnêtement</b>
<div style='font-weight: bold;'>croire</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> Penser que (qqch.) est véritable, donner une adhésion de principe à.<br> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Il ne croit que ce qu'il voit.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>accepter,&nbsp;admettre,&nbsp;penser</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>believe, suppose</div>
<div class=centered-block> Penser que (qqch.) est véritable, donner une adhésion de principe à.<br> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>croire</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Il ne croit que ce qu'il voit.</div>
<b>manière</b>	manner
manner	<b>manière</b>
<b>lente</b>	slow
slow	<b>lente</b>
<b>but</b>	objective
objective	<b>but</b>
<b>nulle part</b>	nowhere
nowhere	<b>nulle part</b>
<b>reprendre</b>	resume
resume	<b>reprendre</b>
<b>faute de frappe</b>	typo
typo	<b>faute de frappe</b>
<b>tenir</b>	hold
hold	<b>tenir</b>
<b>soutenir</b>	support
support	<b>soutenir</b>
<b>promettre</b>	promise
promise	<b>promettre</b>
<b>nager</b>	to swim
to swim	<b>nager</b>
<b>pendant</b>	while, during
while, during	<b>pendant</b>
<div><b>virer</b></div>	to fire
to fire	<div><b>virer</b></div>
<b>sirène</b>	mermaid
mermaid	<b>sirène</b>
<b>dégueulasse</b>	disgusting
disgusting	<b>dégueulasse</b>
<div style='font-weight: bold;'>attraper</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Rejoindre (qqn) et s'en saisir.&nbsp;Arriver à prendre, à saisir (une chose, un animal). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Je l'ai attrapé à fouiller dans mes papiers.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>saisir,&nbsp;recevoir,&nbsp;capturer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>catch</div>
<div class=centered-block> Rejoindre (qqn) et s'en saisir.&nbsp;Arriver à prendre, à saisir (une chose, un animal). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>attraper</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Je l'ai attrapé à fouiller dans mes papiers.</div>
<div><b>se mettre à faire quelque chose</b></div>	<div>commencer à faire quelque chose&nbsp;</div>
<div>commencer à faire quelque chose&nbsp;</div>	<div><b>se mettre à faire quelque chose</b></div>
<b>fauteuil</b>	armchair
armchair	<b>fauteuil</b>
<b>saisir</b>	grab
grab	<b>saisir</b>
<b>stries</b>	streaks
streaks	<b>stries</b>
<b>faire </b>(passé composé)	(avoir) + fait
je&nbsp;<b>faire</b> (présent)	je fais
nous <b>faire </b>(présent)	nous faisons
vous <b>faire </b>(présent)	vous faites
ils&nbsp;<b>faire&nbsp;</b>(présent)	ils font
je&nbsp;<b>faire&nbsp;</b>(imparfait)	je faisais
tu&nbsp;<b>faire&nbsp;</b>(imparfait)	tu faisais
il&nbsp;<b>faire&nbsp;</b>(imparfait)	il faisait
nous&nbsp;<b>faire&nbsp;</b>(imparfait)	nous faisions
vous&nbsp;<b>faire&nbsp;</b>(imparfait)	vous faisiez
ils&nbsp;<b>faire&nbsp;</b>(imparfait)	ils faisaient
je&nbsp;<b>faire&nbsp;</b>(futur simple)	je ferai
tu&nbsp;<b>faire&nbsp;</b>(futur simple)	tu feras
il&nbsp;<b>faire&nbsp;</b>(futur simple)	il fera
nous&nbsp;<b>faire&nbsp;</b>(futur simple)	nous ferons
vous&nbsp;<b>faire&nbsp;</b>(futur simple)	vous ferez
ils&nbsp;<b>faire&nbsp;</b>(futur simple)	ils feront
vous<b> être</b>&nbsp;(présent)	vous êtes
<b>être </b>(passé composé)	(avoir) + été
je<b> être&nbsp;</b>(imparfait)	j'étais
tu&nbsp;<b>être&nbsp;</b>(imparfait)	tu étais
il&nbsp;<b>être&nbsp;</b>(imparfait)	il était
nous<b> être&nbsp;</b>(imparfait)	nous étions
vous&nbsp;<b>être&nbsp;</b>(imparfait)	vous étiez
ils&nbsp;<b>être&nbsp;</b>(imparfait)	ils étaient
je<b> être&nbsp;</b>(futur simple)	je serai
tu&nbsp;<b>être&nbsp;</b>(futur simple)	tu seras
il&nbsp;<b>être&nbsp;</b>(futur simple)	il sera
nous&nbsp;<b>être&nbsp;</b>(futur simple)	nous serons
vous&nbsp;<b>être&nbsp;</b>(futur simple)	vous serez
ils&nbsp;<b>être&nbsp;</b>(futur simple)	ils seront
<b>avoir </b>(passé composé)	(avoir) + eu
je <b>avoir&nbsp;</b>(imparfait)	j'avais
tu <b>avoir&nbsp;</b>(imparfait)	tu avais
il&nbsp;<b>avoir&nbsp;</b>(imparfait)	il avait
nous&nbsp;<b>avoir&nbsp;</b>(imparfait)	nous avions
vous&nbsp;<b>avoir&nbsp;</b>(imparfait)	vous aviez
ils&nbsp;<b>avoir&nbsp;</b>(imparfait)	ils avaient
<b>ça veut dire</b>	it means
it means	<b>ça veut dire</b>
je&nbsp;<b>commencer </b>(présent)<br>	je commence
<b>commencer </b>(passé composé)	(avoir) + commencé
je<b> commencer </b>(imparfait)	je commençais
tu&nbsp;<b>commencer&nbsp;</b>(imparfait)	tu commençais
il <b>commencer </b>(imparfait)	il commençait
nous <b>commencer&nbsp;</b>(imparfait)	nous commencions
